X,Y,Name,description,gx_media_links
-118.2400642,34.0393659,Natosha (6th and Central),"<a href=""https://www.youtube.com/watch?v=HzVoWvqg7ug""><img src=""https://img.youtube.com/vi/HzVoWvqg7ug/hqdefault.jpg"" height=""200"" width=""auto"" /></a><br><br><a href=""https://www.youtube.com/embed/HzVoWvqg7ug"">https://www.youtube.com/embed/HzVoWvqg7ug</a><br><br>Natosha received our first two-bucket handwashing station. check out the video above!",https://www.youtube.com/embed/HzVoWvqg7ug
-118.242004,34.0406082,Hippie Kitchen,coming soon!...,
-118.2418649,34.0399758,LA CAN courtyard,"<img src=""https://doc-0c-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/0banai7hm5i8856pvej1i0852g/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_vZZeHKM1gMz5t999Z3XBUpFUU4qSRxQxBOGvvGY2dHDlZr8V18CL7LUI8jR4uQwQU_SFE3zzgC0NRB6cEzQ1O_ntBSzZvKGjZHFtyo8mT5z1iTkSxdn6GaMZkHs3NHBv3-tAczjP0IyIOrxs-miJUfRVtWGHIyk8HT6BYU0OxCz6GbMeUGcdzXbxz8QOq5p3s4?session=0&fife"" height=""200"" width=""auto"" /><br><br>Where the handwashing stations are born",https://doc-0c-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/0banai7hm5i8856pvej1i0852g/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_vZZeHKM1gMz5t999Z3XBUpFUU4qSRxQxBOGvvGY2dHDlZr8V18CL7LUI8jR4uQwQU_SFE3zzgC0NRB6cEzQ1O_ntBSzZvKGjZHFtyo8mT5z1iTkSxdn6GaMZkHs3NHBv3-tAczjP0IyIOrxs-miJUfRVtWGHIyk8HT6BYU0OxCz6GbMeUGcdzXbxz8QOq5p3s4?session=0&fife
-118.2441216,34.0441792,Stephanie (5th and San Pedro),"<a href=""https://www.youtube.com/watch?v=3391a0Nm3EM""><img src=""https://img.youtube.com/vi/3391a0Nm3EM/hqdefault.jpg"" height=""200"" width=""auto"" /></a><br><br><a href=""https://www.youtube.com/embed/3391a0Nm3EM"">https://www.youtube.com/embed/3391a0Nm3EM</a><br><br>3/19/2020 Stephanie received our first Big CAN handwashing station. check out the video above!<br><br>as of 7/27/2020, three BigCan Handwashing Stations in use",https://www.youtube.com/embed/3391a0Nm3EM
-118.2411586,34.0424309,Crushow (5th and Stanford),"<img src=""https://doc-0s-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/pg5qfmqk9al0lc4fprd01gfa9g/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_vbY7VONJ5pMdub8Xlf1PgOU-ipXxI8Un8DbLD0mNhcpmr5PikZwhpWXAz4cox48HI4fkNDC6DUBhCn_pA9ZPaa128mf-VqqHeC19PTNwkclUyhUKcPErpzu-aC-VWcEUYagCvFXv7CXN31Ufjip5kx0ROZFCY-0Vcxm7SK17s2sK98-diObAYZnnUaf8K3gfoxp?session=0&fife"" height=""200"" width=""auto"" /><br><br>3/21/2020: Crushow is our partner on 5th at Stanford, serving his many neighbors. He's also the artist who created our first LACAN Big CAN!<br><br><img src=""https://doc-10-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/5jqa4t55t0fdcvva7la1b81fa4/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_vb4BtTK4g-nhFZvfFBy4nUtymSGvmv9TEuul0HIl72ckpDL31MpIafjYWlXuSd03nPh-BfgYHxQrBlA547bxEyM4jwgOzVxg22MKp0KgC5vfBvLRVG4r_Qs8e6L9gzaXrOXDOTTI1cbkDi1m_FqvUYZrSTpNIR-rfdrOoALzH_pd26HMolF_aeLeJ0TmcUOkTr5?session=0&fife"" height=""200"" width=""auto"" /><br><br><img src=""https://doc-0k-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/icebiumehmp126i6fbbkb7ssas/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_vZs7Nm8ZYYORuJdNwHKDJXW3Elbo9ZhFiy2hM2bcoHfwuoKQBQW8Hh1eVAtybY42IQrXb75lAbkDf1mUMqCmvjEU79LGxBG52B4aDVTPSssgaAACUnydKN30f5XJdwHtAfPE0E3EtaIUxmc67kpPZ7O7Kr3wpr-mhpX8u377XAngi1tyU5JEIrPUf4GvgTwLQjL?session=0&fife"" height=""200"" width=""auto"" />",https://doc-0s-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/pg5qfmqk9al0lc4fprd01gfa9g/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_vbY7VONJ5pMdub8Xlf1PgOU-ipXxI8Un8DbLD0mNhcpmr5PikZwhpWXAz4cox48HI4fkNDC6DUBhCn_pA9ZPaa128mf-VqqHeC19PTNwkclUyhUKcPErpzu-aC-VWcEUYagCvFXv7CXN31Ufjip5kx0ROZFCY-0Vcxm7SK17s2sK98-diObAYZnnUaf8K3gfoxp?session=0&fife https://doc-10-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/5jqa4t55t0fdcvva7la1b81fa4/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_vb4BtTK4g-nhFZvfFBy4nUtymSGvmv9TEuul0HIl72ckpDL31MpIafjYWlXuSd03nPh-BfgYHxQrBlA547bxEyM4jwgOzVxg22MKp0KgC5vfBvLRVG4r_Qs8e6L9gzaXrOXDOTTI1cbkDi1m_FqvUYZrSTpNIR-rfdrOoALzH_pd26HMolF_aeLeJ0TmcUOkTr5?session=0&fife https://doc-0k-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/icebiumehmp126i6fbbkb7ssas/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_vZs7Nm8ZYYORuJdNwHKDJXW3Elbo9ZhFiy2hM2bcoHfwuoKQBQW8Hh1eVAtybY42IQrXb75lAbkDf1mUMqCmvjEU79LGxBG52B4aDVTPSssgaAACUnydKN30f5XJdwHtAfPE0E3EtaIUxmc67kpPZ7O7Kr3wpr-mhpX8u377XAngi1tyU5JEIrPUf4GvgTwLQjL?session=0&fife
-118.2465981,34.0452904,Cue (5th and Maple),"<img src=""https://doc-10-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/lq3l8beo5sl3ved698udfaqh54/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_vZD2jGpijV8UEtvdtIGlqE4hFp7yvf0Iob1RN2JuW2-0WlUPgT0Cw6gnU0Lf8UEmj3mDXsLAMPEee_PTzWaGEnumvNPw2qrIyfHwigdiPBJLV61Q4909uba_sbRQb0HZUimy08-5LvKhoZDM-7Z8KJh79On7eohIo0-sm0T_ogA6Q3nn-IWVEbaKEe5I7D_vwk?session=0&fife"" height=""200"" width=""auto"" /><br><br>3/20/2020 - Cue helps wash hands at the Church Without Walls - watch: https://www.facebook.com/cue.jnmarie/videos/3293576897327171/",https://doc-10-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/lq3l8beo5sl3ved698udfaqh54/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_vZD2jGpijV8UEtvdtIGlqE4hFp7yvf0Iob1RN2JuW2-0WlUPgT0Cw6gnU0Lf8UEmj3mDXsLAMPEee_PTzWaGEnumvNPw2qrIyfHwigdiPBJLV61Q4909uba_sbRQb0HZUimy08-5LvKhoZDM-7Z8KJh79On7eohIo0-sm0T_ogA6Q3nn-IWVEbaKEe5I7D_vwk?session=0&fife
-118.2615218,34.0785691,Liberty Street & Reservoir Street,"<img src=""https://doc-08-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/h6koq4jm0gof16p1c10iud1v0c/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_van7Ezhg_gfQzDRxKpM0iGgKJjCOxf29-tpOJtiLhSB3HR4rEztiVhv02DE66QDqN7Wgk3EDNTqorEo4jW0mK7CiFDWw_WtRoNatTcSLmkXPzAfVMBFRsBHiWufL66Txm7gB4VVtoyXA8Puroc_qaDJoQZM8mw-f3GydonFr8tBJj0jbt1SJSFYINTgtCc8alQ?session=0&fife"" height=""200"" width=""auto"" /><br><br>brought by Street Watch LA  <br>UDPDATE 6/1/2020: We replaced the station with a new BigCAN from LA CAN<br>3/23/2020 ""Unfortunately someone has removed the wash station we set up at Liberty+Resevoir st.""<br>3/21/2020. ""Today we set up another hand washing station in Echo Park, this one for the unhoused community at Liberty+ Resevoir st.""",https://doc-08-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/h6koq4jm0gof16p1c10iud1v0c/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_van7Ezhg_gfQzDRxKpM0iGgKJjCOxf29-tpOJtiLhSB3HR4rEztiVhv02DE66QDqN7Wgk3EDNTqorEo4jW0mK7CiFDWw_WtRoNatTcSLmkXPzAfVMBFRsBHiWufL66Txm7gB4VVtoyXA8Puroc_qaDJoQZM8mw-f3GydonFr8tBJj0jbt1SJSFYINTgtCc8alQ?session=0&fife
-118.2598239,34.0857559,Glendale Boulevard & Effie Street,"<img src=""https://doc-0s-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/v2u4cpj3bh6rar8qo4jdan03qo/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_va1tAR2p1eVbadruWxN-e8vDHEGUzX8qHYzgri21hGc_ZIPr9mqLvZ3lm4QqMUrQmiWEh3T4rff7TX16Pp16-PgcXicjEOFA2kjhQmU7MkKhdAlLw0dWWaoRNBXMPRJTVVehYZTZPZ_ZYY1GIn7sBsV7UZy4nr4Pc-dMyeS6zW9JHXZtOb6wBhbba80ABZ0loE?session=0&fife"" height=""200"" width=""auto"" /><br><br>3/20/2020 - Street Watch LA: ""Today, we gave them a community handwash station that we will service every day""<br><br><img src=""https://doc-14-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/31eutn9idf34sjge2sqf94tq94/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_vYWO43NzPEjxnQOJxzHBjaJ1XViJ_QdBEGE-7Ezy3A7OTc7xtjmd5uNZLedaftvKtmwZqrmsR5o9uaZzp2fIU9ar9EwLZDG149TSzjI5LyrFVFq75IvPaeggpxZ188XdfF1hNFHicJuJTSmAJ3gSjzeOqaoVd_MW9dbX_9DtdPuQavF7ElpHFALIYnMQmn57ic?session=0&fife"" height=""200"" width=""auto"" />",https://doc-0s-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/v2u4cpj3bh6rar8qo4jdan03qo/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_va1tAR2p1eVbadruWxN-e8vDHEGUzX8qHYzgri21hGc_ZIPr9mqLvZ3lm4QqMUrQmiWEh3T4rff7TX16Pp16-PgcXicjEOFA2kjhQmU7MkKhdAlLw0dWWaoRNBXMPRJTVVehYZTZPZ_ZYY1GIn7sBsV7UZy4nr4Pc-dMyeS6zW9JHXZtOb6wBhbba80ABZ0loE?session=0&fife https://doc-14-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/31eutn9idf34sjge2sqf94tq94/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_vYWO43NzPEjxnQOJxzHBjaJ1XViJ_QdBEGE-7Ezy3A7OTc7xtjmd5uNZLedaftvKtmwZqrmsR5o9uaZzp2fIU9ar9EwLZDG149TSzjI5LyrFVFq75IvPaeggpxZ188XdfF1hNFHicJuJTSmAJ3gSjzeOqaoVd_MW9dbX_9DtdPuQavF7ElpHFALIYnMQmn57ic?session=0&fife
-118.4531374,34.1809973,Cedros & Bessemer,"Installed 3/22, checked 3/24",
-118.241361,34.0397274,East 6th Street & Ceres Avenue,"5/31/2020: BigCAN installed, attended by Gregory (photo TK)",
