X,Y,Name,description,gx_media_links
-118.2444385,34.0389783,Stanford Avenue & 7th Street,"<a href=""https://www.youtube.com/watch?v=lCU9VesmdYc""><img src=""https://img.youtube.com/vi/lCU9VesmdYc/hqdefault.jpg"" height=""200"" width=""auto"" /></a><br><br><a href=""https://www.youtube.com/embed/lCU9VesmdYc"">https://www.youtube.com/embed/lCU9VesmdYc</a><br><br>3/16/2020 - water, soap and a few paper towels! ",https://www.youtube.com/embed/lCU9VesmdYc
-118.242774,34.043513,East 5th Street & Crocker Street,"<a href=""https://www.youtube.com/watch?v=cpSR4HnbaC0""><img src=""https://img.youtube.com/vi/cpSR4HnbaC0/hqdefault.jpg"" height=""200"" width=""auto"" /></a><br><br><a href=""https://www.youtube.com/embed/cpSR4HnbaC0"">https://www.youtube.com/embed/cpSR4HnbaC0</a><br><br>3/16/2020: fully functional, but running low on water",https://www.youtube.com/embed/cpSR4HnbaC0
-118.2411015,34.0426548,Stanford Avenue & 5th Street,"<a href=""https://www.youtube.com/watch?v=qNRqGPndHHM""><img src=""https://img.youtube.com/vi/qNRqGPndHHM/hqdefault.jpg"" height=""200"" width=""auto"" /></a><br><br><a href=""https://www.youtube.com/embed/qNRqGPndHHM"">https://www.youtube.com/embed/qNRqGPndHHM</a><br><br>3/16/2020: water and soap, but no towels. the sink is dirty and the station is in the gutter",https://www.youtube.com/embed/qNRqGPndHHM
-118.2437452,34.0440513,5th / San Pedro,"<a href=""https://www.youtube.com/watch?v=QOuCjTP4pVY""><img src=""https://img.youtube.com/vi/QOuCjTP4pVY/hqdefault.jpg"" height=""200"" width=""auto"" /></a><br><br><a href=""https://www.youtube.com/embed/QOuCjTP4pVY"">https://www.youtube.com/embed/QOuCjTP4pVY</a><br><br>3/16/2020: some soap, but no water (click on video for details) - go across the street to Stephanie's Spot instead.",https://www.youtube.com/embed/QOuCjTP4pVY
-118.2453528,34.0419903,San Pedro Street & 6th Street,"<a href=""https://www.youtube.com/watch?v=6w31On0a3i4""><img src=""https://img.youtube.com/vi/6w31On0a3i4/hqdefault.jpg"" height=""200"" width=""auto"" /></a><br><br><a href=""https://www.youtube.com/embed/6w31On0a3i4"">https://www.youtube.com/embed/6w31On0a3i4</a><br><br>On 3/16/2020: some soap, no water, no more towels",https://www.youtube.com/embed/6w31On0a3i4
-118.375457,34.036763,Venice Boulevard & David Avenue,"3/18/2020 - 2 stations; 4 sinks; only water in 1 - no sweep on 3/18 (was posted) - No trash pick up - Encampment on David on culdesac; no station; people didn’t want to talk to me; took photos; both stations on south side of Venice, underpass",
-118.338558,34.085285,North Highland Avenue & Waring Avenue,"3/22/2020: 1 station; both waters work; one soap full one empty; took photo; on east side of Highland",
-118.29118,33.960768,8512 S Vermont Ave,,
-118.45511,34.279449,Rinaldi St. near the 5 freeway offramp,,
-118.265278,34.013757,East 36th Street & South Avalon Boulevard,,
