X,Y,Name,description,tessellate,extrude,_,Installed_on,Units,Address,City,State,Zip_code,gx_media_links
,,Abbey Apartments,"<img src=""https://doc-0k-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/c70c2hvg5ofooku41jqdp73ous/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_vZDKNnTTIBHxG_--OQV_dlSXqpNaNQvT4LCaqWUR8ham6ogYpO0i_r2GHg_GVHRIHVHHYP83lZgaB4sO_ZSAsT1figYD1sQF86y-7QjNET_AA-TkfKl_Fmviy46ERp48TbASZ6eBBSaZrMX6sHfZ09oHxCbYzDcLI4xujqNeU3ovAfrZuOVYDsG7R3Ng5eYJw4?session=0&fife"" height=""200"" width=""auto"" /><br><br> : Art by Natosha<br><br>currently inactive (7/20/2020)<br>Installed on: May 7, 2020<br>Units: 115<br>Address: 625 S. San Pedro street<br>City: Los Angeles<br>State: CA<br>Zip code: 90014<br><br><img src=""https://doc-04-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/os5hde39571pvqau31c5joeoa4/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_vaaFCurip6GJ5Je05KVIDvuQ5WlZKOT4ZOOBJ5jLsGDe_H-f4F0mN4Gs8pUtn8KzGGLk8p_GWKilgy8BhobSjPOmbwx0vl9su2_Wuf38DT6WIFDC862iHqyf9lV8BI324I-jtw8PwxPZT4whz2z8WVu_5cuvrQoZeJrYw2nnz4uxZkcBYOP7iAdrihb0E4fe1c?session=0&fife"" height=""200"" width=""auto"" />",,,"Art by Natosha

currently inactive (7/20/2020)","May 7, 2020","115.0",625 S. San Pedro street,Los Angeles,CA,"90014",https://doc-0k-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/c70c2hvg5ofooku41jqdp73ous/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_vZDKNnTTIBHxG_--OQV_dlSXqpNaNQvT4LCaqWUR8ham6ogYpO0i_r2GHg_GVHRIHVHHYP83lZgaB4sO_ZSAsT1figYD1sQF86y-7QjNET_AA-TkfKl_Fmviy46ERp48TbASZ6eBBSaZrMX6sHfZ09oHxCbYzDcLI4xujqNeU3ovAfrZuOVYDsG7R3Ng5eYJw4?session=0&fife https://doc-04-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/os5hde39571pvqau31c5joeoa4/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_vaaFCurip6GJ5Je05KVIDvuQ5WlZKOT4ZOOBJ5jLsGDe_H-f4F0mN4Gs8pUtn8KzGGLk8p_GWKilgy8BhobSjPOmbwx0vl9su2_Wuf38DT6WIFDC862iHqyf9lV8BI324I-jtw8PwxPZT4whz2z8WVu_5cuvrQoZeJrYw2nnz4uxZkcBYOP7iAdrihb0E4fe1c?session=0&fife
,,Boyd Hotel, : <br>Installed on: <br>Units: 61<br>Address: 224 E. Boyd street<br>City: Los Angeles<br>State: CA<br>Zip code: 90013,,,,,"61.0",224 E. Boyd street,Los Angeles,CA,"90013",
,,Charles Cobb Apartments, : <br>Installed on: <br>Units: 76<br>Address: 521 S. San Pedro street<br>City: Los Angeles<br>State: CA<br>Zip code: 90013,,,,,"76.0",521 S. San Pedro street,Los Angeles,CA,"90013",
,,Crescent Hotel, : Currently Inactive<br>Installed on: <br>Units: 55<br>Address: 617 E. 5th street<br>City: Los Angeles<br>State: CA<br>Zip code: 90013,,,Currently Inactive,,"55.0",617 E. 5th street,Los Angeles,CA,"90013",
,,Crest Apartments, : <br>Installed on: <br>Units: 64<br>Address: 13604 W. Sherman Way<br>City: Van Nuys<br>State: CA<br>Zip code: 91405,,,,,"64.0",13604 W. Sherman Way,Van Nuys,CA,"91405",
,,Dewey Hotel, : <br>Installed on: <br>Units: 43<br>Address: 721 S. Main Street<br>City: Los Angeles<br>State: CA<br>Zip code: 90014,,,,,"43.0",721 S. Main Street,Los Angeles,CA,"90014",
,,Edward, : <br>Installed on: <br>Units: 47<br>Address: 713 E. 5th street<br>City: Los Angeles<br>State: CA<br>Zip code: 90013,,,,,"47.0",713 E. 5th street,Los Angeles,CA,"90013",
,,Hart, : <br>Installed on: <br>Units: 39<br>Address: 508 E. 4th street<br>City: Los Angeles<br>State: CA<br>Zip code: 90013,,,,,"39.0",508 E. 4th street,Los Angeles,CA,"90013",
,,Lincoln Hotel,"<img src=""https://doc-0o-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/0bj9jsfd7musa0hokjvjn3elg8/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_vZw45jJ9HkfKKNOFFHOovsO4oKRCuf11FYtwJRsuVxBbmxItAaZiv5s1eBd-XTUInS4nZxC5HZpgeXXlr127N5gs7hmmXJ6zsLkduHv5dWLIVaU5PzdX3ZWBBNolYr-q2jrqcE3d_a5mSBIL6V0KYIv1xbirV533Ip7pvL8MH6_5qQokEDk1ZARiPTzC8f_BLg?session=0&fife"" height=""200"" width=""auto"" /><br><br> : BigCAN art by Marie Quinn (@mariequinnproductionsla) and Sandra Rivera (@sandraxica88)<br><br>Currently inactive (7/27/2020)<br>Installed on: April 30, 2020<br>Units: 41<br>Address: 549-551 Ceres Street <br>City: Los Angeles<br>State: CA<br>Zip code: 90013",,,"BigCAN art by Marie Quinn (@mariequinnproductionsla) and Sandra Rivera (@sandraxica88)

Currently inactive (7/27/2020)","April 30, 2020","41.0",549-551 Ceres Street ,Los Angeles,CA,"90013",https://doc-0o-1g-mymaps.googleusercontent.com/untrusted/hostedimage/esc04r0c12hnhiki0unr6mvpv8/0bj9jsfd7musa0hokjvjn3elg8/1652993842500/-ow_CPK0lrzkTMgb_MPEUflk78SxsX2H/17105932374242975262/5AIsG_vZw45jJ9HkfKKNOFFHOovsO4oKRCuf11FYtwJRsuVxBbmxItAaZiv5s1eBd-XTUInS4nZxC5HZpgeXXlr127N5gs7hmmXJ6zsLkduHv5dWLIVaU5PzdX3ZWBBNolYr-q2jrqcE3d_a5mSBIL6V0KYIv1xbirV533Ip7pvL8MH6_5qQokEDk1ZARiPTzC8f_BLg?session=0&fife
,,New Carver Apartments, : <br>Installed on: <br>Units: 97<br>Address: 1624 s. Hope street<br>City: Los Angeles<br>State: CA<br>Zip code: 90015,,,,,"97.0",1624 s. Hope street,Los Angeles,CA,"90015",
